Z daughter, A daughter, element daughter, Z parent, A parent, element parent, metastable, independent thermal FY jeff3.1.1, unc, independent fast FY jeff3.1.1, unc, independent 14MeV FY jeff3.1.1, unc,Extraction date
32,78,Ge,92,235,U,0,7.686E-05,1.9348E-05,9.2656E-05,2.3792E-05,0.00080716,0.00015384,2021-04-28
32,79,Ge,92,235,U,0,3.2779E-05,6.1267E-06,3.4344E-05,6.5238E-06,6.8471E-05,1.7904E-05,2021-04-28
32,79,Ge,92,235,U,1,0.00021442,4.0077E-05,0.00025795,4.8998E-05,0.00082192,0.00021492,2021-04-28
32,80,Ge,92,235,U,0,0.00090087,8.7126E-05,0.00070427,0.00011378,0.001239,0.00033926,2021-04-28
32,81,Ge,92,235,U,0,0.00092591,0.00015035,0.00085346,0.00015717,0.00057567,0.0002035,2021-04-28
32,81,Ge,92,235,U,1,0.00021409,3.4765E-05,0.00017184,3.1646E-05,7.2315E-05,2.5563E-05,2021-04-28
32,82,Ge,92,235,U,0,0.0012173,0.0002471,0.00098994,0.00020156,0.00046709,0.00016657,2021-04-28
32,83,Ge,92,235,U,0,0.00053741,0.00016441,0.00030915,9.0462E-05,0.00013461,4.7581E-05,2021-04-28
32,84,Ge,92,235,U,0,0.00018246,6.5933E-05,8.3502E-05,2.7653E-05,4.0206E-05,1.5644E-05,2021-04-28
32,85,Ge,92,235,U,0,2.4374E-05,9.0771E-06,8.1722E-06,2.9008E-06,5.0261E-06,2.0218E-06,2021-04-28
32,86,Ge,92,235,U,0,2.8497E-06,1.0388E-06,6.5804E-07,2.3329E-07,8.3245E-07,3.3123E-07,2021-04-28
32,87,Ge,92,235,U,0,1.3594E-07,4.8515E-08,2.2237E-08,8.0051E-09,5.2326E-08,1.9862E-08,2021-04-28
32,88,Ge,92,235,U,0,4.9033E-09,1.747E-09,5.7353E-10,2.0118E-10,5.092E-09,1.9538E-09,2021-04-28
32,89,Ge,92,235,U,0,6.777E-11,2.4847E-11,5.2795E-12,1.9065E-12,1.5244E-10,5.4295E-11,2021-04-28
33,75,As,92,235,U,0,5.7027E-12,2.1999E-12,1.8964E-11,7.4513E-12,5.3065E-07,2.0552E-07,2021-04-28
33,75,As,92,235,U,1,1.8657E-11,7.1973E-12,7.1815E-11,2.8218E-11,3.2788E-06,1.2699E-06,2021-04-28
33,76,As,92,235,U,0,2.6975E-09,1.029E-09,4.7098E-09,1.8324E-09,1.5376E-05,5.7897E-06,2021-04-28
33,77,As,92,235,U,0,8.2988E-08,3.0033E-08,1.6395E-07,6.433E-08,8.4957E-05,2.8462E-05,2021-04-28
33,78,As,92,235,U,0,1.5145E-06,5.2918E-07,2.9089E-06,1.0967E-06,0.00022897,7.9553E-05,2021-04-28
33,79,As,92,235,U,0,2.3404E-05,7.6072E-06,3.5971E-05,1.3041E-05,0.00094703,0.00023934,2021-04-28
33,80,As,92,235,U,0,0.00018041,5.4508E-05,0.00020559,7.0851E-05,0.0015618,0.00037917,2021-04-28
33,81,As,92,235,U,0,0.00069998,0.00017752,0.00088067,0.00022011,0.0033144,0.00062592,2021-04-28
33,82,As,92,235,U,0,0.00037166,7.0396E-05,0.00048719,8.9338E-05,0.00045231,0.00011149,2021-04-28
33,82,As,92,235,U,1,0.0011215,0.00021243,0.0016975,0.00031128,0.0025591,0.00063076,2021-04-28
33,83,As,92,235,U,0,0.002744,0.00050813,0.0034226,0.00054778,0.0036701,0.00084171,2021-04-28
33,84,As,92,235,U,0,0.0011335,0.00031525,0.001637,0.00036545,0.00066795,0.00023028,2021-04-28
33,84,As,92,235,U,1,0.0011335,0.00031525,0.001637,0.00036545,0.00066795,0.00023028,2021-04-28
33,85,As,92,235,U,0,0.0014083,0.00046884,0.0015025,0.00045413,0.0006987,0.00026602,2021-04-28
33,86,As,92,235,U,0,0.00044233,0.00015891,0.00039758,0.00013644,0.0001506,5.9338E-05,2021-04-28
33,87,As,92,235,U,0,0.0001057,3.7639E-05,6.7173E-05,2.4059E-05,4.1623E-05,1.5764E-05,2021-04-28
33,88,As,92,235,U,0,1.0704E-05,3.8134E-06,6.1869E-06,2.1694E-06,5.4569E-06,2.0933E-06,2021-04-28
33,89,As,92,235,U,0,7.8197E-07,2.867E-07,3.0595E-07,1.1048E-07,7.4797E-07,2.664E-07,2021-04-28
33,90,As,92,235,U,0,2.373E-08,8.9731E-09,7.7925E-09,2.8808E-09,4.2638E-08,1.5495E-08,2021-04-28
33,91,As,92,235,U,0,5.6311E-10,2.0344E-10,1.1871E-10,4.2865E-11,3.0492E-09,1.1034E-09,2021-04-28
33,92,As,92,235,U,0,5.0887E-12,1.7806E-12, , ,8.4845E-11,3.2426E-11,2021-04-28
34,76,Se,92,235,U,0,0,0,0,0,2.2843E-07,8.7764E-08,2021-04-28
34,77,Se,92,235,U,0,6.237E-12,2.2581E-12,5.38E-12,2.1131E-12,1.1681E-07,4.2775E-08,2021-04-28
