Incident energy ; 
Incident energy ; 
Incident energy ; NP
44.44659 ; 2.70578
44.4523 ; 2.705472
44.4639 ; 2.704938
44.4697 ; 2.704715
44.48129 ; 2.704342
44.4928 ; 2.704062
44.50439 ; 2.703866
44.51601 ; 2.703747
44.5275 ; 2.703704
44.53909 ; 2.703735
44.5507 ; 2.703841
44.56219 ; 2.704022
44.57381 ; 2.704286
44.5854 ; 2.704642
44.59689 ; 2.705093
44.60851 ; 2.705662
44.7 ; 2.716844
44.8 ; 2.758023
44.89999 ; 2.814317
45.0 ; 2.844806
45.10001 ; 2.860328
45.2 ; 2.869619
45.3 ; 2.875509
45.3293 ; 2.876796
45.39999 ; 2.879362
45.60001 ; 2.884398
45.7 ; 2.885865
45.8 ; 2.886944
45.89999 ; 2.887792
46.0 ; 2.888455
46.04829 ; 2.88872
46.2 ; 2.889391
46.3 ; 2.889731
46.4767 ; 2.890178
46.7506 ; 2.890633
47.2592 ; 2.891029
48.6046 ; 2.890976
49.39999 ; 2.890753
49.49699 ; 2.890542
49.5862 ; 2.890161
49.6432 ; 2.889728
49.67551 ; 2.88936
49.7 ; 2.888977
49.76469 ; 2.887202
49.8 ; 2.885297
49.854 ; 2.879688
49.8692 ; 2.877268
49.88049 ; 2.875195
49.8918 ; 2.872885
49.89751 ; 2.871632
49.90311 ; 2.870352
49.9088 ; 2.869001
49.9144 ; 2.867627
49.9257 ; 2.864739
49.9314 ; 2.863234
49.9483 ; 2.858661
49.98219 ; 2.849569
49.98779 ; 2.848147
49.9991 ; 2.845386
50.00481 ; 2.844058
50.01041 ; 2.842801
50.0161 ; 2.841573
50.0217 ; 2.840414
50.0274 ; 2.839286
50.0325 ; 2.838321
50.0387 ; 2.837208
50.0443 ; 2.836256
50.0499 ; 2.835357
50.0556 ; 2.834495
50.0612 ; 2.833698
50.06689 ; 2.83294
50.07249 ; 2.832244
50.0782 ; 2.831583
50.0838 ; 2.830983
50.08949 ; 2.83042
50.09509 ; 2.829912
50.1064 ; 2.829017
50.11211 ; 2.82863
50.11771 ; 2.828293
50.129 ; 2.827732
50.1346 ; 2.827512
50.1459 ; 2.827181
50.1516 ; 2.827072
50.1629 ; 2.826966
50.1685 ; 2.826967
50.17979 ; 2.82708
50.1855 ; 2.827194
50.19679 ; 2.827529
50.211 ; 2.828167
50.3002 ; 2.838358
50.3622 ; 2.851876
50.3894 ; 2.858582
50.39999 ; 2.861132
50.4787 ; 2.875861
50.5 ; 2.878292
50.5679 ; 2.882923
50.60001 ; 2.884123
50.6572 ; 2.885531
50.7 ; 2.886239
50.7464 ; 2.886817
50.8 ; 2.88732
50.83569 ; 2.887582
50.89999 ; 2.887948
51.0 ; 2.888315
51.08121 ; 2.888476
51.1926 ; 2.888531
51.28191 ; 2.888442
51.37109 ; 2.888229
51.4604 ; 2.887864
51.5 ; 2.887642
51.54961 ; 2.887305
51.60001 ; 2.886881
51.6389 ; 2.886489
51.7 ; 2.885723
51.8002 ; 2.883893
51.81731 ; 2.883482
51.9958 ; 2.876851
52.0851 ; 2.871125
52.10001 ; 2.869903
52.1743 ; 2.86208
52.2 ; 2.858468
52.2514 ; 2.849254
52.3 ; 2.837597
52.3289 ; 2.82956
52.33569 ; 2.827619
52.3629 ; 2.819944
52.3698 ; 2.818073
52.3766 ; 2.816281
52.38341 ; 2.814542
52.3902 ; 2.812873
52.397 ; 2.811271
52.40379 ; 2.809746
52.4106 ; 2.808294
52.4153 ; 2.807339
52.42419 ; 2.805639
52.431 ; 2.804428
52.43781 ; 2.803298
52.4446 ; 2.80225
52.4514 ; 2.801275
52.45821 ; 2.800369
52.465 ; 2.799536
52.4718 ; 2.798768
52.47861 ; 2.798059
52.4854 ; 2.797411
52.4922 ; 2.796816
52.49899 ; 2.796271
52.5058 ; 2.795772
52.5126 ; 2.795318
52.5262 ; 2.794527
52.533 ; 2.794183
52.5466 ; 2.79359
52.55341 ; 2.793337
52.567 ; 2.792903
52.5874 ; 2.792412
52.60001 ; 2.792192
52.61459 ; 2.792007
52.63499 ; 2.791861
52.64861 ; 2.791832
52.66901 ; 2.79189
52.6826 ; 2.791997
52.7099 ; 2.792394
52.71671 ; 2.792535
52.73711 ; 2.793075
52.8 ; 2.796272
52.89999 ; 2.810321
52.9068 ; 2.811821
53.0 ; 2.835116
53.07069 ; 2.848559
53.10001 ; 2.852438
53.2 ; 2.861196
53.2345 ; 2.863246
53.3 ; 2.866355
53.39841 ; 2.869733
53.5 ; 2.87218
53.56219 ; 2.873313
53.60001 ; 2.873897
53.7 ; 2.875153
53.8 ; 2.87609
53.88989 ; 2.876713
53.9572 ; 2.877072
54.0538 ; 2.877456
54.2 ; 2.877811
54.3815 ; 2.877944
54.5 ; 2.877876
54.60001 ; 2.877733
54.6761 ; 2.877568
54.8 ; 2.877189
54.873 ; 2.876893
55.0 ; 2.876192
55.0368 ; 2.875928
55.10001 ; 2.875376
55.2 ; 2.874111
55.3 ; 2.871741
55.3645 ; 2.868726
55.3951 ; 2.866633
55.40939 ; 2.8655
55.42731 ; 2.863959
55.4451 ; 2.862321
55.5284 ; 2.854609
55.53439 ; 2.854131
55.5522 ; 2.852815
55.5641 ; 2.852031
55.576 ; 2.851324
55.588 ; 2.85069
55.5999 ; 2.850142
55.6118 ; 2.849667
55.6237 ; 2.849269
55.6356 ; 2.84894
55.64751 ; 2.848682
55.6653 ; 2.848424
55.6772 ; 2.848334
55.6891 ; 2.848308
55.707 ; 2.848394
55.7189 ; 2.848535
55.7308 ; 2.848745
55.74271 ; 2.849025
55.75459 ; 2.849381
55.8 ; 2.851495
55.85609 ; 2.856042
55.89999 ; 2.861249
56.0 ; 2.87697
56.0199 ; 2.880016
56.10001 ; 2.88815
56.11411 ; 2.888898
56.18381 ; 2.890901
56.2 ; 2.891126
56.3 ; 2.891771
56.3476 ; 2.891879
56.39999 ; 2.891945
56.5 ; 2.892003
57.3 ; 2.892224
57.3307 ; 2.892225
57.8 ; 2.892089
57.89999 ; 2.892006
58.10001 ; 2.891733
58.2 ; 2.891523
58.2711 ; 2.891327
58.39999 ; 2.890834
58.4776 ; 2.890409
58.60001 ; 2.889421
58.64661 ; 2.888891
58.7141 ; 2.88789
58.74789 ; 2.887244
58.7648 ; 2.88687
58.79849 ; 2.88601
58.8154 ; 2.885508
58.83231 ; 2.884944
58.8492 ; 2.88432
58.866 ; 2.883628
58.8829 ; 2.882853
58.8998 ; 2.881996
58.9167 ; 2.881053
58.93359 ; 2.880026
58.95039 ; 2.878928
58.9673 ; 2.87776
58.98421 ; 2.876547
59.0517 ; 2.871774
59.0686 ; 2.870718
59.08549 ; 2.869756
59.10001 ; 2.869008
59.1192 ; 2.868135
59.133 ; 2.867587
59.153 ; 2.866907
59.16991 ; 2.86643
59.1868 ; 2.866037
59.2 ; 2.865781
59.2205 ; 2.865468
59.2374 ; 2.865282
59.2543 ; 2.865153
59.27119 ; 2.865079
59.28799 ; 2.86506
59.32179 ; 2.86518
59.3387 ; 2.865324
59.35561 ; 2.865527
59.37241 ; 2.865793
59.3893 ; 2.866129
59.4231 ; 2.867037
59.44 ; 2.867622
59.4568 ; 2.868298
59.47369 ; 2.869077
59.4906 ; 2.869957
59.50751 ; 2.870932
59.5244 ; 2.871995
59.5412 ; 2.873121
59.55811 ; 2.874306
59.6246 ; 2.87897
59.6425 ; 2.880105
59.65939 ; 2.881096
59.7 ; 2.883139
59.78841 ; 2.886178
59.89999 ; 2.888363
59.95219 ; 2.889041
60.0 ; 2.889537
60.10001 ; 2.89031
60.2 ; 2.89085
60.27991 ; 2.891171
60.39999 ; 2.891533
60.5 ; 2.891758
60.60001 ; 2.89193
60.89999 ; 2.89226
61.0992 ; 2.892384
61.5 ; 2.892496
61.5907 ; 2.892499
62.0 ; 2.892392
62.10001 ; 2.89232
62.58501 ; 2.890997
62.8324 ; 2.886384
63.09219 ; 2.874324
63.25301 ; 2.874758
63.5 ; 2.886717
63.7 ; 2.890902
64.3853 ; 2.890914
64.6521 ; 2.887543
64.8745 ; 2.879293
65.0079 ; 2.874171
65.3 ; 2.878831
65.4716 ; 2.873256
65.65781 ; 2.866205
65.93269 ; 2.865113
66.65311 ; 2.878073
67.5 ; 2.882932
69.60001 ; 2.883627
71.8 ; 2.87795
73.3698 ; 2.867877
73.7 ; 2.863085
74.0085 ; 2.852641
74.2275 ; 2.852948
74.3 ; 2.855396
74.49969 ; 2.872273
74.62041 ; 2.873271
74.9973 ; 2.862819
75.2989 ; 2.862718
75.8 ; 2.872424
76.89999 ; 2.882621
78.5 ; 2.887733
78.83591 ; 2.885349
79.0605 ; 2.880192
