Z daughter, A daughter, element daughter, Z parent, A parent, element parent, metastable, independent thermal FY jeff3.1.1, unc, independent fast FY jeff3.1.1, unc, independent 14MeV FY jeff3.1.1, unc,Extraction date
50,121,Sn,94,239,Pu,1,4.7273E-06,1.8107E-06,4.438E-06,1.6677E-06, , ,2021-04-28
50,121,Sn,94,239,Pu,0,1.9582E-06,7.5006E-07,1.5862E-06,5.9606E-07, , ,2021-04-28
50,120,Sn,94,239,Pu,0,1.1848E-07,4.5218E-08,1.1056E-07,4.1383E-08, , ,2021-04-28
50,119,Sn,94,239,Pu,1,1.2995E-08,4.7585E-09,1.0234E-08,3.8368E-09, , ,2021-04-28
50,119,Sn,94,239,Pu,0,3.972E-09,1.4544E-09,2.7025E-09,1.0132E-09, , ,2021-04-28
50,118,Sn,94,239,Pu,0,1.2504E-09,4.6193E-10,8.365E-10,3.4624E-10, , ,2021-04-28
50,117,Sn,94,239,Pu,1,5.5452E-11,2.0122E-11,3.4648E-11,1.4236E-11, , ,2021-04-28
50,117,Sn,94,239,Pu,0,1.6949E-11,6.1505E-12,9.1492E-12,3.7592E-12, , ,2021-04-28
50,116,Sn,94,239,Pu,0,1.1855E-12,4.3245E-13,0,0, , ,2021-04-28
50,115,Sn,94,239,Pu,0,0,0,0,0, , ,2021-04-28
50,114,Sn,94,239,Pu,0,0,0,0,0, , ,2021-04-28
49,135,In,94,239,Pu,0,9.2971E-11,3.306E-11,2.6263E-12,9.6377E-13, , ,2021-04-28
49,134,In,94,239,Pu,0,7.6397E-09,2.7445E-09,5.075E-10,1.8344E-10, , ,2021-04-28
49,133,In,94,239,Pu,1,8.5795E-08,3.1225E-08,9.1515E-09,3.3059E-09, , ,2021-04-28
49,133,In,94,239,Pu,0,3.7104E-07,1.3504E-07,4.5452E-08,1.6419E-08, , ,2021-04-28
49,132,In,94,239,Pu,0,9.4522E-06,3.3683E-06,1.8601E-06,6.6523E-07, , ,2021-04-28
49,131,In,94,239,Pu,4,3.1447E-05,1.0891E-05,1.0545E-05,3.6326E-06, , ,2021-04-28
49,131,In,94,239,Pu,1,3.1447E-05,1.0891E-05,1.0545E-05,3.6326E-06, , ,2021-04-28
49,131,In,94,239,Pu,0,3.1447E-05,1.0891E-05,1.0545E-05,3.6326E-06, , ,2021-04-28
49,130,In,94,239,Pu,2,0.00027229,8.1578E-05,0.00012292,3.8296E-05, , ,2021-04-28
49,130,In,94,239,Pu,1,0.00016003,4.7947E-05,8.8244E-05,2.7492E-05, , ,2021-04-28
49,130,In,94,239,Pu,0,0.00014328,4.2928E-05,6.0605E-05,1.8881E-05, , ,2021-04-28
49,129,In,94,239,Pu,1,0.00023028,6.9969E-05,0.00012031,3.4584E-05, , ,2021-04-28
49,129,In,94,239,Pu,0,0.00099592,0.0003026,0.00059755,0.00017177, , ,2021-04-28
49,128,In,94,239,Pu,-2,0.00080203,0.00021933,0.0010662,0.00022911, , ,2021-04-28
49,128,In,94,239,Pu,1,0.00025758,7.044E-05,0.00027826,5.9795E-05, , ,2021-04-28
49,128,In,94,239,Pu,0,0.00063279,0.00017305,0.00071065,0.00015271, , ,2021-04-28
