 U-235(n,el) ENDFB-8.0
Energy(eV) XS(b)
1.95250 12.0233
1.95428 12.0190
1.95605 12.0147
1.95782 12.0102
1.95959 12.0058
1.96136 12.0012
1.96305 11.9969
1.96474 11.9925
1.96643 11.9880
1.96812 11.9836
1.96981 11.9792
1.97150 11.9748
1.97319 11.9704
1.97488 11.9661
1.97658 11.9619
1.97827 11.9578
1.97996 11.9538
1.98165 11.9500
1.98334 11.9465
1.98503 11.9431
1.98672 11.9401
1.98841 11.9374
1.99131 11.9337
1.99420 11.9313
1.99710 11.9306
2.00000 11.9318
2.00500 11.9391
2.01000 11.9537
2.01516 11.9772
2.01774 11.9922
2.02032 12.0092
2.02290 12.0281
2.02548 12.0488
2.02806 12.0709
2.03064 12.0941
2.03223 12.1089
2.03382 12.1239
2.03541 12.1390
2.03699 12.1542
2.03978 12.1806
2.04257 12.2065
2.04536 12.2313
2.04815 12.2547
2.05134 12.2792
2.05453 12.3008
2.05821 12.3219
2.06189 12.3387
2.06926 12.3591
2.07255 12.3630
2.07583 12.3641
2.07912 12.3628
2.08240 12.3595
2.08569 12.3545
2.08733 12.3514
2.08897 12.3481
2.09062 12.3445
2.09226 12.3408
2.09390 12.3368
2.09554 12.3327
2.09719 12.3285
2.09883 12.3241
2.10047 12.3198
2.10211 12.3153
2.10376 12.3109
2.10540 12.3064
2.10704 12.3020
2.10868 12.2975
2.11033 12.2931
2.11197 12.2887
2.11361 12.2844
2.11525 12.2801
2.11690 12.2759
2.11854 12.2717
2.12182 12.2636
2.12511 12.2557
2.12839 12.2481
2.13168 12.2408
2.13496 12.2337
2.13735 12.2287
2.14064 12.2221
2.14392 12.2157
2.14721 12.2095
2.15049 12.2036
2.15378 12.1978
2.15706 12.1922
2.16035 12.1868
2.16363 12.1815
2.16692 12.1764
2.17020 12.1714
2.17349 12.1666
2.17677 12.1618
2.18334 12.1527
2.18991 12.1440
2.19558 12.1368
2.20126 12.1299
2.20693 12.1231
2.21261 12.1166
2.21828 12.1102
2.22395 12.1040
2.23530 12.0920
2.24665 12.0806
2.25800 12.0695
2.26935 12.0589
2.28069 12.0486
2.29025 12.0401
2.30220 12.0297
2.31414 12.0196
2.32609 12.0096
2.33803 11.9999
2.36192 11.9808
2.38581 11.9622
2.40970 11.9439
2.43359 11.9259
2.45749 11.9081
2.48138 11.8903
2.51004 11.8689
2.53871 11.8474
2.55305 11.8365
2.56738 11.8254
2.58172 11.8142
2.59605 11.8027
2.60809 11.7929
2.62013 11.7828
2.63217 11.7723
2.64421 11.7615
2.65625 11.7501
2.66829 11.7382
2.68034 11.7256
2.68636 11.7190
2.69238 11.7123
2.69734 11.7066
2.70231 11.7008
2.70728 11.6949
2.71225 11.6889
2.71691 11.6833
2.72157 11.6776
2.72623 11.6719
2.73088 11.6662
2.73554 11.6606
2.74020 11.6551
2.74486 11.6497
2.74952 11.6445
2.75634 11.6371
2.76317 11.6303
2.76999 11.6241
2.77681 11.6184
2.78364 11.6133
2.79046 11.6087
2.79728 11.6046
2.80411 11.6008
2.81093 11.5973
2.81775 11.5940
2.82458 11.5907
2.83140 11.5874
2.83756 11.5844
2.84372 11.5812
